Example,Time (days),Filter,Magnitude,Uncertainty
2,12.411428571428571,ztfi,25.811874,0.21938945
2,12.61,ztfg,31.118834,0.17614456
2,12.61,ztfr,27.829613,0.20752093
2,12.61,ztfi,25.91549,0.21816844
2,12.808571428571428,ztfg,31.441671,0.17121555
2,12.808571428571428,ztfr,28.225048,0.20759332
2,12.808571428571428,ztfi,26.13239,0.21910056
2,13.007142857142856,ztfg,31.624239,0.17380072
2,13.007142857142856,ztfr,28.050577,0.20864022
2,13.007142857142856,ztfi,26.289558,0.21808897
2,13.205714285714285,ztfg,31.582693,0.173675
2,13.205714285714285,ztfr,28.174994,0.2061486
2,13.205714285714285,ztfi,26.333725,0.2181446
2,13.404285714285713,ztfg,31.747513,0.17280507
2,13.404285714285713,ztfr,28.238049,0.21235421
2,13.404285714285713,ztfi,26.741617,0.21985112
2,13.602857142857141,ztfg,31.846453,0.17720528
2,13.602857142857141,ztfr,28.208384,0.21028106
2,13.602857142857141,ztfi,26.544588,0.21769471
2,13.80142857142857,ztfg,31.862259,0.17229074
2,13.80142857142857,ztfr,28.45608,0.2106852
2,13.80142857142857,ztfi,26.64296,0.22083877
2,14.0,ztfg,32.062042,0.17565718
2,14.0,ztfr,28.562143,0.21308088
2,14.0,ztfi,26.598661,0.22253491
3,0.1,ztfg,23.44886,0.27504745
3,0.1,ztfr,24.86207,0.2825249
3,0.1,ztfi,25.990133,0.22165771
3,0.2985714285714286,ztfg,22.351933,0.30005577
3,0.2985714285714286,ztfr,22.538008,0.30770603
3,0.2985714285714286,ztfi,23.301054,0.31857482
3,0.4971428571428571,ztfg,21.936352,0.31832796
3,0.4971428571428571,ztfr,21.542624,0.33751592
3,0.4971428571428571,ztfi,22.261347,0.32376227
3,0.6957142857142856,ztfg,21.830515,0.30620635
3,0.6957142857142856,ztfr,20.868845,0.3485713
3,0.6957142857142856,ztfi,21.929565,0.327046
3,0.8942857142857142,ztfg,21.490719,0.30427018
3,0.8942857142857142,ztfr,21.22721,0.341381
3,0.8942857142857142,ztfi,21.65078,0.32631713
3,1.092857142857143,ztfg,21.672804,0.28601217
3,1.092857142857143,ztfr,21.114048,0.34978822
3,1.092857142857143,ztfi,21.39748,0.3189094
3,1.2914285714285714,ztfg,22.062834,0.28210068
3,1.2914285714285714,ztfr,21.135191,0.3526969
3,1.2914285714285714,ztfi,21.732447,0.31767756
3,1.49,ztfg,22.14456,0.28405777
3,1.49,ztfr,21.358454,0.33863616
3,1.49,ztfi,21.660728,0.32336554
3,1.6885714285714286,ztfg,22.468609,0.2937913
3,1.6885714285714286,ztfr,21.405237,0.32676485
3,1.6885714285714286,ztfi,21.694296,0.32158744
3,1.8871428571428572,ztfg,22.919767,0.29348743
3,1.8871428571428572,ztfr,21.739887,0.3305911
3,1.8871428571428572,ztfi,21.814283,0.31537744
3,2.085714285714286,ztfg,23.142723,0.30646083
